Name,Detail description en,Detail description vn,Location
Bánh đậu xanh (Hội An style),"A softer, often moister mung-bean cake variant sold as local souvenir in Hội An with milder sweetness. Ingredients: mung bean, sugar, oil. Taste is soft, sweet and nutty. Best with tea and as a gift. Hội An markets sell local variants as popular souvenirs.","Bánh đậu xanh kiểu Hội An là phiên bản đậu xanh mềm, ẩm, ngọt nhẹ, thường bán làm quà. Nguyên liệu: đậu xanh, đường, dầu. Vị mềm, ngọt và bùi. Thích hợp ăn kèm trà hoặc làm quà. Được bán nhiều tại các chợ và cửa hàng ở Hội An.",Hội An
Bánh đa nem,"Crispy rice paper rolls (sometimes called nem nướng rolls) served with grilled pork sausage and herbs; wrapper may be fried to a crisp. Ingredients: rice paper, nem nướng (grilled pork), herbs, dipping sauce. Taste is savory, smoky and crunchy. Best as snack or appetizer. Popular in southern Vietnam restaurants and street stalls.","Bánh đa nem là loại cuốn giòn từ bánh đa hoặc bánh tráng, kèm nem nướng và rau, vỏ có thể chiên giòn. Nguyên liệu: bánh đa/bánh tráng, nem nướng, rau, nước chấm. Vị mặn, khói và giòn. Thích hợp ăn vặt hoặc khai vị. Phổ biến ở miền Nam và quán ăn ven đường.",Miền Nam
Bún chả cá Lã Vọng? (note: similar name exists),"A regional fish cake noodle variant combining fried fish cakes with bún and a light broth; served with fresh herbs. Ingredients: fish cakes, bún, broth, herbs. Taste is savory, light and aromatic. Best near coastal towns or local eateries. Many regions have their own version of chả cá served with bún.","Bún chả cá là các phiên bản chả cá chiên/ hấp ăn với bún và nước dùng nhẹ, kèm rau thơm. Nguyên liệu: chả cá, bún, nước dùng, rau. Vị mặn, thanh và thơm. Thích hợp ăn tại quán địa phương ven biển. Nhiều vùng có cách chế biến chả cá riêng.",Ven biển (phổ biến)
Bánh hỏi lòng heo,"Bánh hỏi served with braised or boiled pork and assorted offal, often accompanied by herbs and a dipping sauce. Ingredients: bánh hỏi, pork/offal, herbs, sauce. Taste is savory, textured and aromatic. Best as a communal lunch or dinner. Common in central Vietnam and family gatherings.","Bánh hỏi lòng heo là sự kết hợp bánh hỏi với lòng và thịt heo luộc/ hầm, kèm rau và nước chấm. Nguyên liệu: bánh hỏi, lòng, thịt, rau. Vị mặn, nhiều kết cấu và thơm. Thích hợp ăn chung bữa trưa hoặc tối. Phổ biến ở miền Trung trong các dịp sum họp.",Miền Trung
Bánh đa nem Hải Phòng,"A specialty from Hải Phòng where rice-paper-based snacks and fried rolls are popular with local flavors and dipping sauces. Ingredients: rice paper, pork/shrimp, herbs, sauces. Taste is crispy, savory and umami. Best as snack or street food. Hải Phòng street stalls offer a distinct take on nem and rice-paper snacks.","Bánh đa nem Hải Phòng là các món ăn từ bánh đa/bánh tráng kèm nem chiên và nước chấm đặc trưng địa phương. Nguyên liệu: bánh đa, thịt/tôm, rau, nước chấm. Vị giòn, mặn và umami. Thích hợp làm ăn vặt đường phố. Hải Phòng có phong cách nem và bánh đa riêng rất được ưa chuộng.",Hải Phòng
Bánh canh ghẹ,"Thick noodle soup made with crab or crab meat in a slightly thick, savory broth often with fish cake and herbs. Ingredients: thick tapioca/rice noodles, crab meat, broth, fish cake. Taste is rich, briny and comforting. Best on cool days or for lunch. Coastal regions like central and southern Vietnam serve notable versions.","Bánh canh ghẹ là bún/canh sợi dày với ghẹ hoặc thịt ghẹ trong nước dùng hơi sánh, kèm chả và rau. Nguyên liệu: bánh canh, ghẹ, nước dùng, chả. Vị đậm, mặn và ấm. Thích hợp ăn ngày lạnh hoặc trưa. Nhiều vùng ven biển có phiên bản bánh canh ghẹ nổi tiếng.",Ven biển (phổ biến)
Chả cá nướng (grilled fish),"Grilled fish marinated in local spices or turmeric, served with rice or noodles and herbs. Ingredients: fish, spices, turmeric, herbs. Taste is smoky, spiced and fresh. Best for lunch or dinner near coastal areas. A simple preparation that highlights fresh catch and regional marinades.","Chả cá nướng là cá ướp gia vị hoặc nghệ rồi nướng, ăn cùng cơm hoặc bún và rau. Nguyên liệu: cá, gia vị, nghệ, rau. Vị khói, có gia vị và tươi. Thích hợp ăn trưa hoặc tối ở vùng biển. Cách chế biến đơn giản tôn vinh hải sản tươi và nước ướp địa phương.",Ven biển
Bò lá lốt cuốn,"Grilled minced beef wrapped in lolot leaves, often served with rice paper, vermicelli and herbs for wrapping. Ingredients: minced beef/pork, lá lốt, herbs, rice paper. Taste is aromatic, smoky and peppery from the leaf. Best as shared dinner or appetizer. A popular family and restaurant dish across Vietnam.","Bò lá lốt cuốn là thịt băm ướp cuộn lá lốt nướng, ăn kèm bánh tráng, bún và rau. Nguyên liệu: thịt băm, lá lốt, rau, bánh tráng. Vị thơm, khói và cay nhẹ của lá lốt. Thích hợp làm món khai vị hoặc ăn tối chia sẻ. Phổ biến khắp cả nước.",Toàn quốc
Bánh tôm chiên (southern variant),"Deep-fried shrimp fritters similar to Hanoi's bánh tôm but with southern flavorings, often served with sweet fish sauce and herbs. Ingredients: shrimp, sweet potato/potato, rice flour, fish sauce. Taste is crispy, slightly sweet and savory. Best as street snack near coastal or river areas. Variants appear across regions.","Bánh tôm chiên phiên bản miền Nam là bánh tôm chiên với hương vị đặc trưng, ăn kèm nước mắm chua ngọt và rau. Nguyên liệu: tôm, khoai, bột, nước mắm. Vị giòn, hơi ngọt và mặn. Thích hợp làm món vặt ven sông/biển. Có nhiều biến thể từng vùng.",Miền Nam
Bánh lá (lá mơ...) assorted local wraps,"Various traditional snacks wrapped in leaves, such as bánh nếp, bánh bột lọc, and steamed cakes, depending on region. Ingredients: rice-based dough, savory or sweet fillings, banana/dong leaves. Taste varies from sweet to savory and aromatic from leaves. Best as snacks or for festive occasions. Widely seen in markets and home kitchens across Vietnam.","Bánh lá là các loại bánh gói lá truyền thống như bánh nếp, bánh bột lọc, bánh ít..., tùy vùng mà có nhân mặn hoặc ngọt. Nguyên liệu: bột gạo, nhân, lá chuối/ lá dong. Vị đa dạng: ngọt hoặc mặn, thơm mùi lá. Thích hợp làm ăn vặt hoặc dịp lễ. Phổ biến ở chợ và bếp gia đình trên khắp cả nước.",Toàn quốc
Bánh chuối hấp,"Steamed banana cake made from ripe bananas and sticky rice or flour, often sweetened with coconut. Ingredients: banana, glutinous rice/flour, coconut milk, sugar. Taste is sweet, soft and aromatic. Best warm as dessert or snack. Simple, traditional home-cooked dessert across Vietnam.","Bánh chuối hấp là bánh chuối hấp cùng nếp hoặc bột, thường ngọt với nước cốt dừa. Nguyên liệu: chuối, nếp/bột, nước cốt dừa, đường. Vị ngọt, mềm và thơm. Thích hợp ăn nóng làm tráng miệng hoặc ăn vặt. Là món gia đình truyền thống khắp Việt Nam.",Toàn quốc
Bún thịt nướng nem nướng (Đặc biệt),"Vermicelli bowl served with both grilled pork and grilled pork sausage (nem nướng), herbs and fish sauce. Ingredients: bún, grilled pork, nem nướng, herbs, nước mắm. Taste is richly savory, smoky and herbaceous. Best for lunch or dinner. A hearty variation popular in southern Vietnam.","Bún thịt nướng nem nướng là bún ăn kèm thịt nướng và nem nướng, rau thơm và nước mắm. Nguyên liệu: bún, thịt nướng, nem nướng, rau, nước mắm. Vị đậm đà, khói và nhiều rau thơm. Thích hợp ăn trưa hoặc tối. Phiên bản nhiều protein này được ưa chuộng ở miền Nam.",Miền Nam
Bánh trôi nước,"Sweet glutinous rice balls filled with palm sugar, served in a sweet ginger syrup; traditional northern dessert. Ingredients: glutinous rice flour, palm sugar, ginger, sugar. Taste is sweet, warm and gingery. Best in winter or during certain festivals. A northern Vietnamese dessert with cultural associations.","Bánh trôi nước là viên bột nếp nhân đường phèn, ăn trong nước gừng ngọt, là món tráng miệng truyền thống miền Bắc. Nguyên liệu: bột nếp, đường phèn, gừng. Vị ngọt, ấm và cay gừng. Thích hợp ăn vào mùa lạnh hoặc dịp lễ cổ truyền. Gắn với nghi lễ và văn hóa miền Bắc.",Miền Bắc
Chả ram tôm đất (Cần Thơ),"Deep-fried rolls stuffed with tiny prawns (tôm đất) and vegetables, a specialty of the Mekong Delta region. Ingredients: small river shrimp, vegetables, rice paper, oil. Taste is crunchy, savory and distinctly prawn-flavored. Best as appetizer or snack with dipping fish sauce. A local favorite in Cần Thơ and surrounding areas.","Chả ram tôm đất là nem chiên nhân tôm đất nhỏ và rau củ, đặc sản miền Tây sông nước. Nguyên liệu: tôm đất, rau, bánh tráng, dầu. Vị giòn, mặn và dậy mùi tôm. Thích hợp làm khai vị hoặc ăn vặt cùng nước chấm. Rất được yêu thích ở Cần Thơ và vùng Đồng bằng sông Cửu Long.",Cần Thơ
Bún chả cá Lập (Quảng Nam variant),"Local variant of fish cake noodle dishes with regional spices and herbs characteristic to central Vietnam towns. Ingredients: fish cake, rice vermicelli, broth, herbs. Taste is savory, aromatic and sometimes tangy. Best as coastal town lunch. Many towns in central Vietnam have unique chả cá preparations.","Bún chả cá phiên bản địa phương là chả cá ăn với bún và gia vị, rau đặc trưng từng vùng miền Trung. Nguyên liệu: chả cá, bún, nước dùng, rau. Vị đậm, thơm và đôi khi hơi chua. Thích hợp ăn trưa tại các thị trấn ven biển. Nhiều địa phương miền Trung có cách chế biến chả cá riêng biệt.",Miền Trung (đặc sản địa phương)
Phở Hà Nội,"A fragrant beef noodle soup with clear, aromatic broth made by simmering beef bones, charred onion and ginger, star anise, cinnamon and other spices for hours. Served with flat rice noodles, thinly sliced rare beef or brisket, and garnished with scallions and cilantro. Taste: delicate, savory, slightly sweet and deeply aromatic. Best time to eat: traditional breakfast or anytime in the morning; also popular all day. Story: Originating in the early 20th century in northern Vietnam, phở evolved from local noodle and French-influenced beef-cooking techniques and became a national symbol of Vietnamese cuisine.","Một món phở bò thơm ngon với nước dùng trong, đậm vị được hầm từ xương bò, hành khô và gừng nướng, hồi, quế và các gia vị khác trong nhiều giờ. Phục vụ kèm bánh phở dẹt, thịt bò thái mỏng hoặc nạm, trang trí với hành lá và ngò. Hương vị: thanh, đậm đà, hơi ngọt và rất thơm. Thời điểm ăn tốt nhất: truyền thống ăn sáng hoặc bất kỳ lúc nào vào buổi sáng; cũng phổ biến cả ngày. Câu chuyện: Bắt nguồn từ đầu thế kỷ 20 ở miền Bắc, phở phát triển từ các kỹ thuật nấu nước dùng địa phương kết hợp ảnh hưởng ẩm thực Pháp và trở thành biểu tượng ẩm thực Việt Nam.",Hà Nội
Bún chả Hà Nội,"Grilled fatty pork patties and slices served with rice vermicelli, fresh herbs and a sweet-sour fish sauce dipping broth with pickled vegetables. Ingredients include minced pork, pork belly, sugar, fish sauce, garlic, and rice noodles with lettuce, perilla and herbs. Taste: smoky, savory, slightly sweet and tangy with fresh herb notes. Best time to eat: lunch or dinner; famous as a lunchtime dish in Hanoi. Story: A Hanoi specialty dating back generations, bún chả became internationally known after being enjoyed by foreign visitors and diplomats, celebrated for its balance of grilled meat and bright dipping sauce.","Thịt nướng gồm chả viên và miếng ba chỉ được nướng than, ăn kèm bún, rau sống và nước chấm chua ngọt pha mắm kèm đồ chua. Nguyên liệu có thịt lợn xay, ba chỉ, đường, nước mắm, tỏi, bún gạo và rau như xà lách, tía tô. Hương vị: khói, mặn ngọt cân bằng, hơi chua và mát nhờ rau thơm. Thời điểm ăn tốt nhất: bữa trưa hoặc tối; nổi tiếng là món ăn trưa ở Hà Nội. Câu chuyện: Món ăn truyền thống Hà Nội có từ nhiều đời, được biết đến rộng rãi bởi sự hòa quyện giữa thịt nướng và nước chấm tươi sáng.",Hà Nội
Bánh mì Sài Gòn,"A Vietnamese sandwich on a light, crispy baguette filled with a mix of ingredients: pâté, various cold cuts or grilled meats, pickled carrots and daikon, fresh cucumber, cilantro, chili, and mayonnaise or butter. Ingredients reflect French colonial influence combined with Vietnamese flavors. Taste: crunchy, savory, tangy, and fresh with varied textures. Best time to eat: breakfast or a quick street food snack any time of day. Story: Evolved from French baguette sandwiches during the colonial period, bánh mì became a uniquely Vietnamese creation mixing local condiments and fillings.","Một loại bánh sandwich Việt Nam dùng bánh mì vỏ giòn ruột mềm, nhân gồm pâté, đồ nguội hoặc thịt nướng/khìa, đồ chua cà rốt và củ cải, dưa leo, ngò, ớt và sốt mayonnaise hoặc bơ. Nguyên liệu phản ánh ảnh hưởng Pháp kết hợp hương vị Việt. Hương vị: giòn, mặn, chua nhẹ và tươi mát với nhiều kết cấu. Thời điểm ăn tốt nhất: bữa sáng hoặc món ăn nhanh đường phố mọi lúc trong ngày. Câu chuyện: Phát triển từ bánh mì Pháp thời thuộc địa, bánh mì Việt Nam trở thành món ăn độc đáo với cách kết hợp nhân và gia vị bản địa.",Hồ Chí Minh (Sài Gòn)
Bún bò Huế,"A spicy and savory beef and pork noodle soup from Huế, made with a rich broth flavored with lemongrass, shrimp paste, chili oil and rock sugar, served with thick rice vermicelli, slices of beef shank, oxtail, pork knuckles, and sometimes congealed blood. Ingredients include beef bones, lemongrass, shrimp paste (mắm ruốc), chili, and huế-style noodles. Taste: bold, spicy, umami-rich and slightly sweet with aromatic lemongrass. Best time to eat: breakfast or lunch; enjoyed year-round. Story: Originating in the imperial city of Huế, this dish reflects royal and central Vietnamese culinary traditions with strong, complex flavors.","Món bún bò cay thơm từ Huế, nước dùng đậm đà được ninh từ xương bò, vị sả, mắm ruốc, ớt và đường phèn, ăn kèm bún sợi to, lát bắp bò, đuôi bò, móng giò và đôi khi có huyết. Nguyên liệu gồm xương bò, sả, mắm ruốc, ớt và bún Huế. Hương vị: đậm, cay, umami và hơi ngọt, mùi sả thơm. Thời điểm ăn tốt nhất: bữa sáng hoặc trưa; ăn quanh năm. Câu chuyện: Xuất xứ từ kinh thành Huế, bún bò mang đậm phong cách ẩm thực cung đình và hương vị trung trung bộ phức tạp.",Huế
Cao lầu (Hội An),"A regional noodle dish from Hội An featuring thick, chewy noodles made with local water and ash, topped with slices of roast pork, crispy rice crackers or croutons, fresh herbs, bean sprouts and a light savory broth or sauce. Ingredients: special rice noodles, pork, herbs, crispy rice, and a small amount of broth. Taste: umami, slightly smoky and balanced with fresh herbs and crunchy textures. Best time to eat: lunch or dinner while visiting Hội An. Story: Said to be influenced by Chinese and Japanese traders, cao lầu is unique to Hội An due to the traditional noodle process and local well water, making it a culinary icon of the town.","Món cao lầu đặc trưng Hội An với sợi mì dày, dai được làm bằng nước và xỉ từ vùng địa phương, ăn kèm thịt heo quay hoặc xá xíu, bánh tráng chiên giòn hoặc tóp, nhiều rau thơm, giá và chút nước dùng hoặc nước sốt đậm. Nguyên liệu: sợi cao lầu đặc biệt, thịt, rau thơm, bánh gạo giòn và nước dùng. Hương vị: umami, hơi khói và cân bằng với rau tươi cùng độ giòn. Thời điểm ăn tốt nhất: bữa trưa hoặc tối khi tham quan Hội An. Câu chuyện: Được cho là chịu ảnh hưởng Trung Hoa và Nhật Bản, cao lầu chỉ có ở Hội An nhờ kỹ thuật làm sợi và nước giếng đặc trưng, trở thành biểu tượng ẩm thực địa phương.",Hội An
Chả cá Lã Vọng,"A Hanoi specialty of turmeric-marinated fish (usually catfish or snakehead) that is pan-fried with dill and spring onions and served sizzling with vermicelli, peanuts, fried shallots, and a dipping fish sauce. Ingredients: fish fillets, turmeric, galangal, dill, spring onion, vermicelli, peanuts. Taste: savory, fragrant with turmeric and dill, slightly oily and very aromatic. Best time to eat: lunch or dinner; often eaten as a shared table dish. Story: Named after the Lã Vọng restaurant in Hanoi where the dish was popularized, chả cá Lã Vọng has been a celebrated Hanoi classic since the late 19th/early 20th century.","Món chả cá nổi tiếng Hà Nội là cá được ướp nghệ, riềng rồi chiên xào cùng thì là và hành hoa, ăn kèm bún, lạc rang, hành phi và nước chấm. Nguyên liệu: phi lê cá, nghệ, riềng, thì là, hành, bún và lạc. Hương vị: đậm đà, thơm mùi nghệ và thì là, hơi béo và rất hấp dẫn. Thời điểm ăn tốt nhất: trưa hoặc tối; thường là món ăn dùng chung cho cả mâm. Câu chuyện: Được đặt tên theo quán Lã Vọng ở Hà Nội nơi món ăn trở nên nổi tiếng, chả cá Lã Vọng là món kinh điển của Hà Nội từ cuối thế kỷ 19, đầu thế kỷ 20.",Hà Nội
Bánh xèo Cần Thơ / Miền Tây,"A savory Vietnamese crepe made from rice flour and coconut milk, turmeric for color, filled with pork, shrimp, bean sprouts and green onions, then pan-fried until crispy. Served with fresh lettuce, herbs and a sweet-sour fish sauce for wrapping. Ingredients: rice flour, coconut milk, turmeric, pork, shrimp, bean sprouts, herbs. Taste: crispy, savory, slightly sweet and aromatic with fresh herb contrast. Best time to eat: lunch or as a shared snack; popular at markets and riverside eateries. Story: Popular across southern Vietnam and the Mekong Delta, bánh xèo showcases abundant local produce and is enjoyed communally by wrapping pieces in lettuce with herbs and dipping sauce.","Bánh xèo là loại bánh crepe mặn làm từ bột gạo và nước cốt dừa, có nghệ tạo màu vàng, nhân gồm thịt heo, tôm, giá đỗ và hành lá, chiên giòn. Ăn kèm rau sống và nước chấm chua ngọt để cuốn. Nguyên liệu: bột gạo, nước cốt dừa, nghệ, thịt, tôm, giá và rau thơm. Hương vị: giòn, mặn, hơi ngọt và thơm, kết hợp mát của rau tươi. Thời điểm ăn tốt nhất: bữa trưa hoặc ăn chung như món ăn nhẹ; phổ biến ở chợ và quán ven sông. Câu chuyện: Rất phổ biến ở miền Nam và vùng đồng bằng sông Cửu Long, bánh xèo thể hiện sự phong phú của nguyên liệu địa phương và cách ăn theo nhóm, cuốn chung với rau và nước chấm.",Cần Thơ (Miền Tây)
Gỏi cuốn (Fresh spring rolls),"Light rice paper rolls filled with boiled shrimp or pork, rice vermicelli, lettuce and various fresh herbs, often served with a peanut sauce or fish sauce-based dip. Ingredients: rice paper, shrimp or pork, bún, lettuce, mint, cilantro, and dipping sauce. Taste: fresh, light, mildly savory and herbaceous with creamy or tangy dipping sauce. Best time to eat: appetizer or light meal any time of day; popular as a healthy street food. Story: Gỏi cuốn reflects Vietnam's emphasis on fresh ingredients and balance; widely eaten across the country with regional variations and dipping sauces.","Gỏi cuốn là cuốn tươi làm từ bánh tráng, nhân tôm luộc hoặc thịt luộc, bún, rau sống và nhiều loại rau thơm, thường chấm với tương đậu phộng hoặc nước mắm pha. Nguyên liệu: bánh tráng, tôm hoặc thịt, bún, xà lách, húng quế, ngò và nước chấm. Hương vị: tươi, nhẹ nhàng, hơi mặn và nhiều hương thơm từ rau, kèm với nước chấm béo hoặc chua. Thời điểm ăn tốt nhất: món khai vị hoặc bữa nhẹ mọi lúc trong ngày; phổ biến như đồ ăn đường phố lành mạnh. Câu chuyện: Gỏi cuốn thể hiện triết lý ẩm thực Việt về tươi mới và cân bằng, được ăn khắp cả nước với nhiều biến thể vùng miền và nước chấm khác nhau.",Hồ Chí Minh
Bánh đa cua Hải Phòng,"A crab noodle soup specialty from Hải Phòng featuring reddish broth made with crab, rice vermicelli or flat noodles, tofu, pork blood, and crab roe or meat, garnished with fresh herbs and fried shallots. Ingredients: fresh crab or crab paste, rice noodles, tofu, pork, sometimes congealed blood, and herbs. Taste: briny, savory, slightly sweet and rich with crab flavor. Best time to eat: breakfast or lunch; popular in northern port cities. Story: A beloved Hải Phòng comfort food reflecting the city's maritime bounty, bánh đa cua is iconic for its bold crab-forward broth.","Bánh đa cua Hải Phòng là món bún/bánh đa có nước dùng màu đỏ làm từ cua, ăn kèm bún hoặc bánh đa, đậu phụ, huyết, thịt lợn và gạch cua, rắc rau thơm và hành phi. Nguyên liệu: cua tươi hoặc chả cua, bún/bánh đa, đậu, thịt, huyết và rau. Hương vị: mằn mặn của biển, đậm đà, hơi ngọt và giàu vị cua. Thời điểm ăn tốt nhất: bữa sáng hoặc trưa; phổ biến ở các thành phố cảng miền Bắc. Câu chuyện: Món ăn an ủi của người Hải Phòng, phản ánh nguồn hải sản phong phú, nổi tiếng với nước dùng đậm đặc vị cua.",Hải Phòng
Cơm tấm Sài Gòn,"Broken rice served with grilled pork chop, shredded pork skin, steamed egg meatloaf (chả trứng), pickled vegetables, scallion oil and a side of fish sauce. Ingredients: fractured rice grains, pork chop, bì (shredded pork and skin), chả, scallions, pickles and nước mắm. Taste: savory and slightly sweet with tender grilled meat, varied textures and fragrant scallion oil. Best time to eat: breakfast or lunch; a classic Saigon street breakfast. Story: Originating from southern rice-farming regions where broken rice was common, cơm tấm became elevated into a beloved urban dish in Saigon served in street stalls and restaurants.","Cơm tấm là cơm từ gạo tấm (hạt vỡ) ăn kèm sườn nướng, bì (thịt và da heo bào sợi), chả trứng, đồ chua, mỡ hành và nước mắm. Nguyên liệu: cơm tấm, sườn nướng, bì, chả, hành lá, đồ chua và nước mắm. Hương vị: mặn ngọt hài hòa, sườn mềm thơm, nhiều kết cấu cùng mỡ hành dậy mùi. Thời điểm ăn tốt nhất: bữa sáng hoặc trưa; là món ăn đường phố đặc trưng Sài Gòn. Câu chuyện: Bắt nguồn từ vùng trồng lúa miền Nam nơi có gạo tấm, cơm tấm đã được nâng tầm ở Sài Gòn thành món ăn phổ biến, phục vụ nhanh tại quán vỉa hè và nhà hàng.",Hồ Chí Minh (Sài Gòn)
Phở Hà Nội,"A clear beef (phở bò) or chicken (phở gà) noodle soup made with rice noodles, aromatic bone broth simmered with star anise, cinnamon, ginger and fish sauce; served with thinly sliced beef or shredded chicken, scallions and herbs. Taste: savory, aromatic and light. Best time: morning breakfast or anytime comfort meal. Story: National dish with roots in northern Vietnam around the early 20th century, evolving from regional soups and French colonial influence.","Món súp phở với nước dùng trong được hầm từ xương bò (hoặc gà), gia vị hồi, quế, gừng và nước mắm, kèm bánh phở, thịt thái mỏng hoặc gà xé, hành và rau thơm. Vị: đậm đà, thơm và thanh. Thời điểm: thường ăn sáng hoặc bữa ăn an ủi bất cứ lúc nào. Câu chuyện: món quốc hồn quốc túy có nguồn gốc Bắc Bộ đầu thế kỷ 20, kết hợp ảnh hưởng ẩm thực địa phương và Pháp.",Hà Nội
Bún chả Hà Nội,"Grilled fatty pork patties and slices served with rice vermicelli, fresh herbs, pickled vegetables and a sweet-sour fish-sauce dipping broth. Ingredients: minced pork, pork belly, vermicelli, herbs, nước chấm. Taste: smoky, sweet-sour, savory. Best time: lunch or dinner. Story: Iconic Hanoi street dish famously enjoyed by locals and visitors; gained international fame after a presidential visit.","Thịt nướng (chả) và thịt ba chỉ nướng ăn kèm bún, rau thơm, đồ chua và nước chấm ngọt chua. Nguyên liệu: thịt băm, ba chỉ, bún, rau, nước mắm. Vị: khói, ngọt chua, đậm đà. Thời điểm: bữa trưa hoặc tối. Câu chuyện: đặc sản đường phố Hà Nội, nổi tiếng trong nước và quốc tế sau một số lần được quảng bá.",Hà Nội
Bánh mì Sài Gòn,"Crispy French-style baguette filled with various fillings: pâté, cold cuts, grilled pork, pickled carrot and daikon, cucumber, cilantro and chili. Ingredients: baguette, pâté, thịt, đồ chua, rau. Taste: crunchy, savory, tangy and fresh. Best time: breakfast or snack. Story: Fusion product of French colonial influence and local flavors; each vendor has signature fillings.","Bánh mì baguette giòn rụm kẹp pate, thịt nguội hoặc thịt nướng, đồ chua, dưa leo, ngò và ớt. Nguyên liệu: bánh mì, pate, thịt, đồ chua, rau. Vị: giòn, mặn ngọt, chua nhẹ và tươi mát. Thời điểm: ăn sáng hoặc ăn vặt. Câu chuyện: kết quả giao thoa ẩm thực Pháp - Việt, mỗi quán có công thức nhân riêng.",Sài Gòn (Hồ Chí Minh)
Bún bò Huế,"Spicy and fragrant beef noodle soup from Huế made with lemongrass, beef bones, and often shank, oxtail or pork knuckles; served with thick rice vermicelli, herbs and fermented shrimp paste. Ingredients: beef/pork, lemongrass, chili oil, shrimp paste. Taste: rich, spicy, umami. Best time: lunch or dinner. Story: Originated as royal and street food in the former imperial city of Huế.","Món bún nước cay đậm đà từ Huế, nấu với sả, xương bò, thường có gân, đuôi bò hoặc giò heo; ăn kèm bún to, rau thơm và mắm ruốc. Nguyên liệu: thịt bò/heo, sả, ớt, mắm ruốc. Vị: béo, cay, đậm umami. Thời điểm: trưa hoặc tối. Câu chuyện: xuất phát từ ẩm thực cung đình và đường phố của kinh đô Huế.",Huế
Cao lầu,"Hoi An’s signature noodle dish with chewy yellow noodles, sliced pork, crispy rice crackers or croutons, fresh herbs and a small amount of savory broth. Ingredients: special local noodles, pork, greens, broth, rice crackers. Taste: savory with contrast of textures. Best time: lunch. Story: Unique to Hoi An; noodles traditionally made with local water and wood-ash lye which gives distinct texture.","Món đặc sản Hội An với sợi mì vàng dai, thịt lợn thái lát, bánh đa/rắc giòn, rau thơm và ít nước dùng. Nguyên liệu: mì đặc biệt, thịt, rau, nước dùng, bánh giòn. Vị: đậm đà, cân bằng nhiều độ giòn - dai. Thời điểm: bữa trưa. Câu chuyện: chỉ có ở Hội An; sợi mì truyền thống làm bằng nước địa phương và nước tro tạo độ dai đặc trưng.",Hội An
Mì Quảng,"Central Vietnam turmeric-yellow rice noodles served with a small amount of flavorful broth, shrimp, pork, quail eggs, peanuts and herbs. Ingredients: rice noodles, turmeric, shrimp, pork, peanuts, herbs. Taste: aromatic, nutty, balanced savory; not soupy. Best time: lunch. Story: A Quang Nam specialty reflecting local ingredients and communal eating culture.","Món mì Quảng đặc trưng miền Trung với sợi bánh màu nghệ, ít nước dùng đậm đà, tôm, thịt, trứng cút, lạc và rau thơm. Nguyên liệu: bánh đa/nui nghệ, tôm, thịt, lạc, rau. Vị: thơm, bùi, đậm đà nhưng không nhiều nước. Thời điểm: bữa trưa. Câu chuyện: đặc sản Quảng Nam, phản ánh nguyên liệu địa phương và văn hóa ăn chung.",Quảng Nam / Đà Nẵng
Cơm tấm Sài Gòn,"Broken-rice dish topped with grilled pork chop (sườn nướng), shredded pork skin, egg meatloaf (chả trứng), pickles and fish-sauce dressing. Ingredients: broken rice, pork, chả, đồ chua, nước mắm. Taste: savory, caramelized, slightly sweet. Best time: lunch/dinner. Story: Originated as a cheap street food for rice-fragment workers, now a beloved Saigon specialty.","Cơm tấm với sườn nướng, bì (thịt băm trộn da), chả trứng, đồ chua và nước mắm. Nguyên liệu: gạo tấm, thịt nướng, chả, đồ chua, nước mắm. Vị: mặn, cháy cạnh ngọt nhẹ, đậm đà. Thời điểm: trưa hoặc tối. Câu chuyện: bắt nguồn từ món ăn rẻ dành cho công nhân xay xát lúa, nay thành đặc sản Sài Gòn.",Sài Gòn (Hồ Chí Minh)
Bún riêu,"Tomato-based sour broth with crab or shrimp paste, rice vermicelli, tofu, congealed pig blood and herbs. Ingredients: crab/shrimp paste, tomatoes, tofu, bún. Taste: tangy, savory, slightly sweet. Best time: lunch. Story: Popular across Vietnam with regional variations; often a home-cooking favorite.","Nước dùng chua ngọt từ cà chua và riêu cua/tôm, ăn với bún, đậu hũ, tiết heo và rau thơm. Nguyên liệu: riêu cua/tôm, cà chua, đậu, bún. Vị: chua, đậm đà, hơi ngọt. Thời điểm: bữa trưa. Câu chuyện: có nhiều biến thể vùng miền, thường xuất hiện trong bữa ăn gia đình.",Miền Bắc và Trung
Bún thịt nướng,"Grilled marinated pork served over vermicelli with fresh herbs, bean sprouts, pickles and fish sauce. Ingredients: marinated pork, bún, rau, nước mắm. Taste: savory, smoky and fresh. Best time: lunch/dinner. Story: Popular southern street food; simple but widely loved.","Thịt nướng ướp gia vị ăn kèm bún, rau sống, giá, đồ chua và nước mắm. Nguyên liệu: thịt ướp, bún, rau, nước mắm. Vị: mặn ngọt, khói, tươi mát. Thời điểm: trưa hoặc tối. Câu chuyện: món ăn đường phố phổ biến ở miền Nam, đơn giản nhưng được ưa chuộng.",Miền Nam (TP. Hồ Chí Minh)
